TYPE,NAME,ADDRESS
reg,r1_239,0x4bc
reg,r1_240,0x4c0
reg,r1_241,0x4c4
reg,r1_242,0x4c8
reg,r1_243,0x4cc
reg,r1_244,0x4d0
reg,r1_245,0x4d4
reg,r1_246,0x4d8
reg,r1_247,0x4dc
reg,r1_248,0x4e0
reg,r1_249,0x4e4
reg,r1_250,0x4e8
reg,r1_251,0x4ec
reg,r1_252,0x4f0
reg,r1_253,0x4f4
reg,r1_254,0x4f8
reg,r1_255,0x4fc
memory,memory_adress_end,0x4fc
