TYPE,NAME,ADDRESS
reg,r1_232,0x7500
reg,r1_233,0x7580
reg,r1_234,0x7600
reg,r1_235,0x7680
reg,r1_236,0x7700
reg,r1_237,0x7780
reg,r1_238,0x7800
reg,r1_239,0x7880
reg,r1_240,0x7900
reg,r1_241,0x7980
reg,r1_242,0x7a00
reg,r1_243,0x7a80
reg,r1_244,0x7b00
reg,r1_245,0x7b80
reg,r1_246,0x7c00
reg,r1_247,0x7c80
reg,r1_248,0x7d00
reg,r1_249,0x7d80
reg,r1_250,0x7e00
reg,r1_251,0x7e80
reg,r1_252,0x7f00
reg,r1_253,0x7f80
reg,r1_254,0x8000
reg,r1_255,0x8080
memory,memory_adress_end,0x8080
